"id","quote","author","themes","identity_or_culture_note","source_confidence","source_title","source_url","decision","notes"
"q052","Service to others is the rent you pay for your room here on earth.","Muhammad Ali","purpose","","needs_source","","","verify",""
"q053","I am because we are.","Ubuntu proverb","purpose","","needs_source","","","verify",""
"q054","If you want to go far, go together.","African proverb","purpose","","needs_source","","","verify",""
"q055","The one who plants trees, knowing they will never sit in their shade, has begun to understand life.","Greek proverb","purpose","","needs_source","","","verify",""
"q056","Remember the earth whose skin you are.","Joy Harjo","purpose","","needs_source","","","verify",""
"q057","The land is the real teacher.","Robin Wall Kimmerer","purpose","","needs_source","","","verify",""
"q058","Knowing yourself is the beginning of all wisdom.","Aristotle","purpose","","needs_source","","","verify",""
"q059","We are all related.","Lakota teaching","purpose","","needs_source","","","verify",""
"q060","A good mind is a good path.","Haudenosaunee teaching","purpose","","needs_source","","","verify",""
"q061","Turn your face toward the sun and the shadows fall behind you.","Māori proverb","purpose","","needs_source","","","verify",""
"q062","Caminante, no hay camino; se hace camino al andar.","Antonio Machado","purpose","","needs_source","","","verify",""
"q063","To survive the Borderlands you must live sin fronteras.","Gloria Anzaldúa","purpose","","needs_source","","","verify",""
"q064","I change myself, I change the world.","Gloria Anzaldúa","purpose","","needs_source","","","verify",""
"q065","Preservation of one's own culture does not require contempt for other cultures.","César Chávez","purpose","","needs_source","","","verify",""
"q066","We cannot seek achievement for ourselves and forget progress for our community.","César Chávez","purpose","","needs_source","","","verify",""
"q067","Sí, se puede.","Dolores Huerta","purpose","","needs_source","","","verify",""
"q068","The only path is the one you make.","Isabel Allende","purpose","","needs_source","","","verify",""
"q069","Write what should not be forgotten.","Isabel Allende","purpose","","needs_source","","","verify",""
"q070","Hope is born of participation.","Paulo Freire","purpose","","needs_source","","","verify",""
"q071","To speak a true word is to transform the world.","Paulo Freire","purpose","","needs_source","","","verify",""
"q072","We have only what we give.","Isabel Allende","purpose","","needs_source","","","verify",""
"q073","I have learned that I am not alone.","Rigoberta Menchú","purpose","","needs_source","","","verify",""
"q074","The journey of a thousand miles begins with a single step.","Lao Tzu","purpose","","needs_source","","","verify",""
"q075","Knowing others is intelligence; knowing yourself is true wisdom.","Lao Tzu","purpose","","needs_source","","","verify",""
"q076","The man who moves a mountain begins by carrying away small stones.","Confucius","purpose","","needs_source","","","verify",""
"q077","It does not matter how slowly you go as long as you do not stop.","Confucius","purpose","","needs_source","","","verify",""
"q078","Our greatest glory is not in never falling, but in rising every time we fall.","Confucius","purpose","","needs_source","","","verify",""
"q079","The wound is the place where the light enters you.","Rumi","purpose","","needs_source","","","verify",""
"q080","Let yourself be silently drawn by the strange pull of what you really love.","Rumi","purpose","","needs_source","","","verify",""
"q081","I slept and dreamt that life was joy.","Rabindranath Tagore","purpose","","needs_source","","","verify",""
"q082","Faith is the bird that feels the light and sings when the dawn is still dark.","Rabindranath Tagore","purpose","","needs_source","","","verify",""
"q083","The butterfly counts not months but moments, and has time enough.","Rabindranath Tagore","purpose","","needs_source","","","verify",""
"q084","Because you are alive, everything is possible.","Thich Nhat Hanh","purpose","","needs_source","","","verify",""
"q085","The present moment is filled with joy and happiness.","Thich Nhat Hanh","purpose","","needs_source","","","verify",""
"q086","No mud, no lotus.","Thich Nhat Hanh","purpose","","needs_source","","","verify",""
"q087","Fall seven times, stand up eight.","Japanese proverb","purpose","","needs_source","","","verify",""
"q088","The obstacle is the path.","Zen proverb","purpose","","needs_source","","","verify",""
"q089","A flower does not think of competing with the flower next to it.","Zen teaching","purpose","","needs_source","","","verify",""
"q090","Your task is not to seek for love, but to seek the barriers within yourself.","Rumi","purpose","","needs_source","","","verify",""
"q091","If you tremble with indignation at every injustice, then you are a comrade of mine.","Che Guevara","purpose","","needs_source","","","verify",""
"q092","We realize the importance of our voices only when we are silenced.","Malala Yousafzai","purpose","","needs_source","","","verify",""
"q093","One child, one teacher, one book, one pen can change the world.","Malala Yousafzai","purpose","","needs_source","","","verify",""
"q094","Another world is not only possible, she is on her way.","Arundhati Roy","purpose","","needs_source","","","verify",""
"q095","The more you know of your history, the more liberated you are.","Maya Angelou","purpose","","needs_source","","","verify",""
"q096","The purpose of freedom is to create it for others.","Nelson Mandela","purpose","","needs_source","","","verify",""
"q097","Until the lions have their own historians, the history of the hunt will glorify the hunter.","African proverb","purpose","","needs_source","","","verify",""
"q098","A person is a person through other persons.","Ubuntu teaching","purpose","","needs_source","","","verify",""
"q099","When spider webs unite, they can tie up a lion.","Ethiopian proverb","purpose","","needs_source","","","verify",""
"q100","The best time to plant a tree was twenty years ago. The second best time is now.","Chinese proverb","purpose","","needs_source","","","verify",""
"q101","A single arrow is easily broken; a bundle is not.","Japanese proverb","purpose","","needs_source","","","verify",""
"q102","A bird does not sing because it has an answer; it sings because it has a song.","Chinese proverb","purpose","","needs_source","","","verify",""
"q103","Tell me and I forget. Teach me and I remember. Involve me and I learn.","Chinese proverb","purpose","","needs_source","","","verify",""
"q104","No one saves us but ourselves.","The Buddha","purpose","","needs_source","","","verify",""
"q105","Peace comes from within.","The Buddha","purpose","","needs_source","","","verify",""
"q106","The mind is everything. What you think you become.","The Buddha","purpose","","needs_source","","","verify",""
"q107","Your work is to discover your work and then give yourself to it.","The Buddha","purpose","","needs_source","","","verify",""
"q108","Be a lamp unto yourself.","The Buddha","purpose","","needs_source","","","verify",""
